Variable,Description,Category,Change Type
HSHE011A,Hardware,Household Furnishings and Equipment,No Longer Available
HSHE016,Maintenance and repairs of household furnishings and equipment,Household Furnishings and Equipment,No Longer Available
HSHE004,Microwave ovens,Household Furnishings and Equipment,No Longer Available
HSHE012M,"Parts and accessories for garden tools and other equipment, tools, accessories and parts",Household Furnishings and Equipment,No Longer Available
HSHE003,Refrigerators and freezers,Household Furnishings and Equipment,No Longer Available
HSHE021,Rental of heating equipment,Household Furnishings and Equipment,No Longer Available
HSHE006,Washers and dryers,Household Furnishings and Equipment,No Longer Available
HSCC014,Child care in the home,Household Operation,No Longer Available
HSCC012,Child care offered in private households,Household Operation,No Longer Available
HSCC011,Child care offered in school,Household Operation,No Longer Available
HSCC002,Child care outside the home,Household Operation,No Longer Available
HSCS001,Communications,Household Operation,No Longer Available
HSCC003,Day care centres,Household Operation,No Longer Available
HSCS012,Landline telephone equipment,Household Operation,No Longer Available
HSCS013,Mobile telephone equipment,Household Operation,No Longer Available
HSCC013,Other child care outside the home,Household Operation,No Longer Available
HSHO004,Pet food,Household Operation,No Longer Available
HSCS010,"Postal, courier and other communication services",Household Operation,No Longer Available
HSHO005,Purchase of pets and related pet goods,Household Operation,No Longer Available
HSCS011,Telephones and equipment,Household Operation,No Longer Available
HSME005,Administration fees for brokers and others,Miscellaneous Expenditures,No Longer Available
HSME011,"Deposits, fines, and lost or stolen money",Miscellaneous Expenditures,No Longer Available
HSME013,Dues to unions and professional associations,Miscellaneous Expenditures,No Longer Available
HSME002,Financial services,Miscellaneous Expenditures,No Longer Available
HSME115,Funeral services (excluding pre-paid funeral services),Miscellaneous Expenditures,No Longer Available
HSME015,"Funeral services, cemetery plots and upkeep, and tombstones",Miscellaneous Expenditures,No Longer Available
HSME215,Pre-paid funeral services,Miscellaneous Expenditures,No Longer Available
HSME003,Service charges for banks and other financial institutions,Miscellaneous Expenditures,No Longer Available
HSME004,Stock and bond commissions,Miscellaneous Expenditures,No Longer Available
HSME010,Total of other miscellaneous goods and services,Miscellaneous Expenditures,No Longer Available
HSEP006,Annuity contracts and transfers to RRIFs,Personal Insurance and Pension,No Longer Available
HSEP002,Employment and Quebec parental insurance premiums,Personal Insurance and Pension,No Longer Available
HSEP008,Employment insurance premiums,Personal Insurance and Pension,No Longer Available
HSEP005,Payments to retirement or pension funds,Personal Insurance and Pension,No Longer Available
HSEP009,Quebec parental insurance premiums,Personal Insurance and Pension,No Longer Available
HSEP003,Retirement and pension fund payments,Personal Insurance and Pension,No Longer Available
HSEP004,Total Canada/Quebec Pension Plan payments,Personal Insurance and Pension,No Longer Available
HSEP001,Total personal insurance premiums and retirement/pension contributions,Personal Insurance and Pension,No Longer Available
HSRO006,Services related to reading materials (e.g. library fees),Reading Materials and Other Printed Matter,No Longer Available
HSOI010,Contract work or hired labour for improvements and alterations,Real Estate,No Longer Available
HSWH002,Improvements and alterations to owned principal residence,Real Estate,No Longer Available
HSWH002B,Improvements and alterations to owned principal residence,Real Estate,No Longer Available
HSOI010Z,Non-contract work or hired labour for improvements and alterations,Real Estate,No Longer Available
HSRE042,Audio equipment,Recreation,No Longer Available
HSRV006,"Bicycles, parts and accessories",Recreation,No Longer Available
HSRE046,Blu-ray players,Recreation,No Longer Available
HSRE017,Cameras and accessories,Recreation,No Longer Available
HSRE005M,Children's toys and outdoor play equipment and accessories,Recreation,No Longer Available
HSRE022,Collectors' items,Recreation,No Longer Available
HSRE047,DVD players,Recreation,No Longer Available
HSRE071,"Fees for sports, sports and recreation facilities, and health clubs",Recreation,No Longer Available
HSRE049,Home theatre systems,Recreation,No Longer Available
HSRV001A,Motorcycles,Recreation,No Longer Available
HSRV001M1,Non-motorized watercrafts and Motorized watercrafts,Recreation,No Longer Available
HSRE044,Non-portable audio equipment,Recreation,No Longer Available
HSRE078,Other recreational activities and services,Recreation,No Longer Available
HSRE026,Other recreational equipment and related services,Recreation,No Longer Available
HSRE043,Portable audio equipment,Recreation,No Longer Available
HSRV002,Purchase of recreational vehicles,Recreation,No Longer Available
HSRE002,Recreation equipment and associated services,Recreation,No Longer Available
HSRV001B,Snowmobiles,Recreation,No Longer Available
HSRE008,Sports and athletic equipment,Recreation,No Longer Available
HSRV015M,Supplies and parts for recreational vehicles and other expenses for operation of recreational vehicles,Recreation,No Longer Available
HSRV001M2,"Tent trailers, travel trailers, truck campers, motorhomes, utility trailers and other types of recreational vehicles",Recreation,No Longer Available
HSRV001D,Travel trailers,Recreation,No Longer Available
HSRE048,"TVs, VCRs, video cameras, other TV/video components",Recreation,No Longer Available
HSRE070,Use of recreation facilities,Recreation,No Longer Available
HSOI020,Contract work or hired labour for repairs and maintenance,Shelter,No Longer Available
HSSH032,Electricity,Shelter,No Longer Available
